details,date,city,state,country,shape,summary,report_date,posted_date,image,,,,,,
https://nuforc.org/sighting/?id=159520,9/23/20 19:15,Littleton,MA,USA,Orb,2 silent orbs of bright light high in the sky maintaining even spacing as they moved east to west and eventually disappearing.,9/23/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159539,9/23/20 19:00,Schererville,IN,USA,,"ufo with red, blue, white lights moving fast. Forming different shapes and following a color pattern",9/24/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159521,9/23/20 18:58,Joshua Tree,CA,USA,Formation,Changing light formations in the sky. Appearing and disappearing and changing formation In the middle of the desert.,9/23/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159838,9/23/20 18:00,Marietta,GA,USA,Circle,I witness the same UFO David Fravor witnessed back in 2004.,10/9/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159793,9/23/20 15:05,Garrettsville,OH,USA,,MADAR Node 64,10/7/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=160159,9/23/20 12:00,Railghy,NH,USA,Oval,((NUFORC Note: Witness provides no information. PD)),10/23/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159783,9/23/20 8:35,Reno,NV,USA,Light,Saw at least 3 white lights moving at fairly high speeds high in the sky with no sound. my little daughter first saw them and pointed t,10/6/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159476,9/22/20 21:56,Sultan,WA,USA,Light,4 pulsating lights in a row floating accross mountain top then disappeared.It was about 4 minutes then just disappeared.,9/22/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159697,9/22/20 21:20,Cave Creek,AZ,USA,Circle,Ufo spotted just before storm,10/1/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159522,9/22/20 20:05,San Clemente,CA,USA,Circle,"Was a light like a Star flying in all different direction and stopping and starting again, lyrically at time then straight forward and",9/23/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159517,9/22/20 20:00,Hendersonville,TN,USA,Formation,Several shape shifting lights in formation at times above Old Hickory Lake for about 90 minutes or better. At times the lights would pu,9/22/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159988,9/22/20 19:42,Windham,NH,USA,Triangle,2nd sighting triangular shape aircraft saw location!,10/14/20,12/23/20,,,,,,,
https://nuforc.org/sighting/?id=159483,9/22/20 19:10,Medina,OH,USA,Circle,Small object near crescent moon moving rapidly across the sky.,9/22/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159484,9/22/20 19:10,Montreal (Canada),QC,Canada,Fireball,Bright white light moving at extreme speeds,9/22/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159487,9/22/20 4:10,Gunnison,CO,USA,Cross,At 4:10am this morning i went to close the window and saw a cross shaped ufo one mile away hovering about 50 feet above a ridge. I liv,9/22/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159489,9/21/20 21:15,Wharton,PA,USA,Sphere,Small floating object observed at very close proximity. Intermittent lights and movement.,9/22/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=159477,9/21/20 21:05,Vernon Hills,IL,USA,Light,"Green ball of light blasts forward and disappears in Vernon Hills, Illinois.",9/22/20,11/5/20,,,,,,,
https://nuforc.org/sighting/?id=168126,9/21/20 20:51,Ogden,UT,USA,Changing,A bright round light that turned into three or four separate the lights and came back together,5/26/22,6/22/22,,,,,,,
